"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1109 - 信大","股東會確認","112年 年度","112/01/01~112/12/31","1","113/03/13","113/06/19","      2,410,489,634","        685,884,557","      2,966,997,486","      2,557,606,844","1.20000000","0.0","0.0","        409,390,642","0.0","0.0","0.0","                  0","第二十六條之一：本公司每年決算如有盈餘，除依法提繳所得稅之外，應先彌補以往年度虧損，次就其餘額提撥百分之十為法定盈餘公積，並於必要時
酌提特別盈餘公積或酌予保留盈餘，餘由董事會併同期初未分配盈餘，擬定盈餘分配議案經股東會決議後分派股東股利。
另依主管機關規定，公司如有長期股權投資未實現跌價損失、累積換算調整數等股東權益減項時，在分配盈餘前，應先在下列限額內提列相同數額之特別盈餘公積： 
一、股東權益減項中屬於當年度發生之金額其提列之特別盈餘公積以不超過當年度稅後盈餘加計以前年度累積未分配盈餘之合計數為限。
二、股東權益減項中屬於以前年度發生之金額，以不超過以前年度累積未分配餘額扣除第一款已提列數後之餘額為限。
嗣後股東權益減項有迴轉時，得就迴轉部份分派盈餘。本公司係屬成熟期產業，有關股利之分派，除有未來公司發展之資本支出或財務規劃等實際需要外，其現金股利部分以不低於當年度股東紅利之百分之十為原則。","",
"1110 - 東泥","股東會確認","112年 年度","112/01/01~112/12/31","1","113/03/14","113/06/21","        258,569,218","        149,521,666","        392,961,515","        278,561,356","0.20000000","0.0","0.0","        114,400,159","0.0","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先繳納稅捐、
彌補以往虧損，次提百分之十為法定盈餘公積，
直至法定盈餘公積已達本公司資本總額時為止，
及依主管機關規定提列或迴轉特別盈餘公積後，
其餘額併同以前年度累積未分配盈餘暨本年度未
分配盈餘調整數後，作為可供分配之盈餘，由董
事會擬具盈餘分配案，提請股東會決議後分派股
東紅利。
本公司股利，應參酌所營事業景氣變化之特性，
考量各項產品或服務所處生命週期對未來資金之
需求與長期財務規劃，在維持穩定股利之目標下
，除有資金需求外，每年度實際分派之盈餘，不
低於該部份可分配盈餘百分之五十，其中股東現
金紅利部份不低於股東紅利百分之五十。","",
"1201 - 味全","董事會決議","112年 年度","112/01/01~112/12/31","1","113/03/12","不適用","      1,185,770,407","        268,323,032","      1,340,800,891","      1,206,188,156","0.26600000","0.0","0.0","        134,612,735","0.0","0.0","0.0","                  0","本公司為傳統精緻產業，每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十為法定盈餘公積，其次再依法提撥或迴轉特別盈餘公積後，如尚有盈餘，連同上一年度累積未分派盈餘，由董事會擬具盈餘分派或保留盈餘議案，提請股東會決議。股利之分派，以各股東持有股份之比例為準。
本公司應考量配合投資發展、評估投資環境並兼顧股東利益，每年以不低於當期淨利百分之五十分派股東股利。惟每年本期淨利低於實收資本總額百分之五時，得不分派；分派股東股利時，以現金或股票方式為之，其中現金股利不得低於股利總數之百分之五十。","無。",
"1203 - 味王","股東會確認","112年 年度","112/01/01~112/12/31","1","113/03/28","113/06/26","      1,241,489,196","        427,699,917","      1,669,353,419","      1,405,353,419","1.10000000","0.0","0.0","        264,000,000","0.0","0.0","0.0","                  0","本公司所處產業環境多變，企業生命週期正值穩定成長階段，考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十法定盈餘公積及依證券交易法規定應提列之特別盈餘公積，如尚有餘，得視當年度實際獲利及資金情況，經董事會決議通過後報股東會決議分派股東紅利。","",
"1210 - 大成","董事會決議","112年 年度","112/01/01~112/12/31","1","113/03/14","不適用","      2,862,841,890","      4,069,203,285","      6,527,606,257","      4,559,118,369","2.22235350","0.0","0.0","      1,968,487,888","0.0","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先提繳稅款、彌補歷年累積虧損，次提
10%為法定盈餘公積，並依法令或主管機關規定提撥或迴轉特別盈餘公
積，如尚有盈餘，其餘額再加計以前年度累積未分配盈餘由董事會擬具
分派議案，以發行新股方式為之時，應提請股東會決議後分派之。本公
司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事
之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二
百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發
放現金之方式為之，並報告股東會。惟此項盈餘提供分派之比率及股東
現金股利之比率，得視當年度實際獲利及資金狀況，經股東會決議調整
之。股東股利:其中現金股利不得低於股利總數之百分之十，但現金股利
每股若低於 0.1 元則不予發放，改以股票股利發放。如有前一年度累積
或當年度發生但當年度稅後盈餘不足提列之股東權益減項，應自前一年
度累積未分配盈餘提列相同數額之特別盈餘公積，並於提撥供分派前先
行扣除。","無",
"1213 - 大飲","股東會確認","112年 年度","112/01/01~112/12/31","1","113/03/15","113/06/14","       -277,406,026","       -138,688,677","       -416,094,703","       -416,094,703","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","近年相關產業蓬勃發展,對於本公司已進入成熟期,較適合穩定股利政策,如產能持續成長,擬先配發股票股利為原則.","",
"1215 - 卜蜂","董事會決議","112年 年度","112/01/01~112/12/31","1","113/05/06","不適用","      2,522,844,625","      2,268,964,355","      4,560,407,010","      2,939,061,471","5.50000000","0.0","0.0","      1,621,345,539","0.0","0.0","0.0","                  0","本公司所處產業正值穩定成長階段，考量本公司資
金需求及滿足股東對現金流入之需求，本公司每年
度決算如有盈餘時，應依法提繳稅捐、彌補虧損，
次提百分之十為法定盈餘公積。但法定盈餘公積，
已達實收資本額時，不在此限。另依法令或主管機
關規定提列或迴轉特別盈餘公積後，其餘額加計以
前年度累積未分配盈餘數，由董事會擬具分派議案
。其中現金股利不得低於分派股利總數之百分之十
，惟每股現金股利低於新台幣○‧一元時，則將現金
股利改以股票股利發放之。
本公司董事會以三分之二以上董事之出席及出席董
事過半數之決議，將應分派股息及紅利或公司法第
二百四十一條第一項規定之法定盈餘公積及資本公
積之全部或一部，以發放現金之方式為之，並報告
股東會；以發行新股方式為之時，應提請股東會決
議後分派之。","無",
"1216 - 統一","股東會確認","112年 年度","112/01/01~112/12/31","1","113/03/07","113/06/27","     17,875,415,195","     18,336,478,165","     33,045,811,109","     15,999,764,846","3.00000000","0.0","0.0","     17,046,046,263","0.0","0.0","0.0","                  0","股東紅利應為累積可分配盈餘之50%-100%，現金股利比率不低於當年度股利分配總額之30%","",
"1217 - 愛之味","董事會決議","112年 年度","112/01/01~112/12/31","1","113/03/11","不適用","         68,728,128","        200,936,451","        115,593,262","          1,855,195","0.23000000","0.0","0.0","        113,738,067","0.0","0.0","0.0","                  0","第三十條之一
公司年度總決算如有盈餘，除預提應繳稅捐，彌
補歷年虧損外，應先提撥百分之十為法定盈餘公
積及就當年度發生之股東權益減項金額及投資性
不動產公允價值淨增加數額自當年度稅後淨利加
計當年度稅後淨利以外項目提列或迴轉特別盈餘
公積，於優先發放特別股當年度應分派及以前各
年度累積未分派之股息後，除保留部份不分配外
由董事會擬具盈餘分配案，提報股東會決議後分
配之。
本公司盈餘分派之股利或法定盈餘公積及資本公
積之全部或一部，如以發放現金之方式為之，授
權董事會三分之二以上董事出席，及出席董事過
半數同意後為之，並報告股東會。","無",
"1218 - 泰山","董事會決議","113年 第3季","113/07/01~113/09/30","1","113/11/12","不適用","      5,571,658,385","        268,019,377","      5,812,875,825","      5,812,875,825","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司目前產業發展成熟，獲利穩定，惟鑑於未來
數年仍有重大之擴充產能及垂直發展之計劃，故盈
餘之分派或虧損撥補得於每季終了後為之，盈餘分
派以現金發放者，依公司法第二百二十八條之一及
第二百四十條第五項規定由董事會決議辦理，並報
告股東會，無須提交股東會請求承認。每季決算如
有盈餘，應先預估並保留應納稅捐後，彌補累積虧
損，次提百分之十為法定盈餘公積，但法定盈餘公
積已達本公司實收資本額時，得不再提列，並得依
公司營運需要及法令規定提列或迴轉特別盈餘公積
後，如尚有餘額，其餘額加計期初累積未分配盈餘
，由董事會擬具議案決議分派之。現金股利分派之
比例不得低於股利分配總額之百分之三十。
若每股股利未達新台幣0.1元，則董事會得以保留
不予分派。","無",
"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1218 - 泰山","董事會決議","113年 第2季","113/04/01~113/06/30","1","113/08/13","不適用","      5,404,546,829","        202,951,832","      5,571,658,385","      5,571,658,385","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司目前產業發展成熟，獲利穩定，惟鑑於未來
數年仍有重大之擴充產能及垂直發展之計劃，故盈
餘之分派或虧損撥補得於每季終了後為之，盈餘分
派以現金發放者，依公司法第二百二十八條之一及
第二百四十條第五項規定由董事會決議辦理，並報
告股東會，無須提交股東會請求承認。每季決算如
有盈餘，應先預估並保留應納稅捐後，彌補累積虧
損，次提百分之十為法定盈餘公積，但法定盈餘公
積已達本公司實收資本額時，得不再提列，並得依
公司營運需要及法令規定提列或迴轉特別盈餘公積
後，如尚有餘額，其餘額加計期初累積未分配盈餘
，由董事會擬具議案決議分派之。現金股利分派之
比例不得低於股利分配總額之百分之三十。
若每股股利未達新台幣0.1元，則董事會得以保留
不予分派。","法定盈餘公積提列之基礎係以113年上半年之淨利計算。",
"1218 - 泰山","董事會決議","113年 第1季","113/01/01~113/03/31","1","113/05/13","不適用","      5,249,095,905","        155,450,924","      5,404,546,829","        545,546,829","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司目前產業發展成熟，獲利穩定，惟鑑於未來
數年仍有重大之擴充產能及垂直發展之計劃，故盈
餘之分派或虧損撥補得於每季終了後為之，盈餘分
派以現金發放者，依公司法第二百二十八條之一及
第二百四十條第五項規定由董事會決議辦理，並報
告股東會，無須提交股東會請求承認。每季決算如
有盈餘，應先預估並保留應納稅捐後，彌補累積虧
損，次提百分之十為法定盈餘公積，但法定盈餘公
積已達本公司實收資本額時，得不再提列，並得依
公司營運需要及法令規定提列或迴轉特別盈餘公積
後，如尚有餘額，其餘額加計期初累積未分配盈
餘，由董事會擬具議案決議分派之。現金股利分派
之比例不得低於股利分配總額之百分之三十。
若每股股利未達新台幣0.1元，則董事會得以保留
不予分派。","無",
"1218 - 泰山","董事會決議","112年 第4季","112/10/01~112/12/31","1","113/03/12","不適用","      5,058,449,332","        196,711,744","      5,249,095,905","      5,249,095,905","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司目前產業發展成熟，獲利穩定，惟鑑於未來數年仍有重大之擴充產能及垂直發展之計劃，故盈餘之分派或虧損撥補得於每季終了後為之，盈餘分派以現金發放者，依公司法第二百二十八條之一及第二百四十條第五項規定由董事會決議辦理，並報告股東會，無須提交股東會請求承認。每季決算如有盈餘，應先預估並保留應納稅捐後，彌補累積虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，並得依公司營運需要及法令規定提列或迴轉特別盈餘公積後，如尚有餘額，其餘額加計期初累積未分配盈餘，由董事會擬具議案決議分派之。現金股利分派之比例不得低於股利分配總額之百分之三十。
若每股股利未達新台幣0.1元，則董事會得以保留不予分派。","無",
